iter	Passed	Remaining
881	42843	5731
882	42882	5681
883	42921	5632
884	42966	5583
885	43012	5534
886	43070	5486
887	43101	5436
888	43146	5387
889	43189	5337
890	43224	5287
891	43266	5238
892	43311	5189
893	43350	5140
894	43391	5090
895	43428	5040
896	43466	4991
897	43501	4941
898	43540	4891
899	43576	4841
900	43615	4792
901	43648	4742
902	43684	4692
903	43730	4643
904	43771	4594
905	43816	4546
906	43850	4496
907	43885	4446
908	43922	4397
909	43972	4348
910	44010	4299
911	44057	4251
912	44088	4201
913	44124	4151
914	44161	4102
915	44205	4053
916	44246	4004
917	44285	3955
918	44319	3906
919	44354	3856
920	44388	3807
921	44422	3758
922	44453	3708
923	44487	3659
924	44528	3610
925	44569	3561
926	44602	3512
927	44638	3463
928	44668	3413
929	44704	3364
930	44740	3315
931	44770	3266
932	44805	3217
933	44849	3169
934	44894	3120
935	44932	3072
936	44966	3023
937	45009	2975
938	45045	2926
939	45087	2877
940	45128	2829
941	45161	2780
942	45192	2731
943	45226	2682
944	45266	2634
945	45312	2586
946	45350	2538
947	45383	2489
948	45426	2441
949	45465	2392
950	45515	2345
951	45552	2296
952	45588	2248
953	45629	2200
954	45663	2151
955	45700	2103
956	45740	2055
957	45777	2006
958	45816	1958
959	45848	1910
960	45884	1862
961	45918	1813
962	45971	1766
963	46044	1719
964	46113	1672
965	46149	1624
966	46196	1576
967	46239	1528
968	46276	1480
969	46315	1432
970	46348	1384
971	46386	1336
972	46432	1288
973	46471	1240
974	46513	1192
975	46560	1144
976	46609	1097
977	46654	1049
978	46700	1001
979	46744	953
980	46785	906
981	46830	858
982	46878	810
983	46926	763
984	46966	715
985	47008	667
986	47049	619
987	47099	572
988	47142	524
989	47180	476
990	47225	428
991	47264	381
992	47311	333
993	47343	285
994	47382	238
995	47436	190
996	47477	142
997	47537	95
998	47586	47
999	47627	0
